date,max_temp,min_temp
2025-10-30,25.7,21.0
2025-10-31,23.9,21.5
2025-11-01,28.6,21.8
2025-11-02,30.4,20.2
2025-11-03,29.8,19.0
2025-11-04,29.2,18.4
2025-11-05,30.1,19.9
2025-11-06,30.7,16.8
